seq,s3,s4,s5,s6,s7,s9,s11,s13,s14,s15,s16,s17,s18,s19a,s19b,s19c,s19d,s20,s23a,s24a,s25a,s26a,s27a,s30a,s30c,s31a,s31c,s32,s33,s34,s35,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,netw,uria,rtdum,bd,mi,old,vr,school,chval,dnotown,dprop
2,1,1,1,88,1,1120,0,5,5,2,1,53,8,NA,NA,NA,NA,1,M,0,19,19,0,1938,2000,2241,2000,939,110,0,30,0,0,34,2,5,0,22.10000038,22.10000038,3,360,NA,110,2,0,0,N,0,1,999999.375,92,3.900000095,0,1,1,1,0,15,206.7354889,0,0
3,1,1,1,118,1,1120,0,5,5,1,2,51,8,NA,NA,NA,NA,1,U,0,3,1,0,2638,1642,2638,1642,1161,128,0,19,0,1,46,2,2,0,26.5,26.5,2,360,NA,128,2,1,0,N,0,0,999999.375,3,3.200000048,0,1,1,0,1,18,238.4942932,0,0
7,1,1,1,185,1,1120,0,5,5,1,2,99,8,NA,NA,NA,NA,1,M,0,13,14,0,5000,2500,5600,2500,2011,196,0,24,0,1,24,2,1,0,24.79999924,37.20000076,2,360,NA,201,2,0,0,N,0,0,999999.375,22,3.200000048,0,1,1,1,0,12,200.1977386,0,0
9,1,1,1,185,1,1120,0,5,5,1,2,110,1,NA,NA,NA,NA,1,M,2,3,3,0,7667,0,7667,0,1937,210,0,11,1,1,20,2,1,0,25,32,2,360,NA,215,2,1,0,N,0,0,1,241,4.300000191,0,0,1,0,1,12,193.8895416,0,0
10,1,1,1,330,1,1120,0,5,5,1,2,129,0,NA,NA,NA,NA,1,M,1,17,11,0,6083,4250,6083,4250,3608,550,0,222,1,1,6,1,1,0,35,36,2,360,NA,550,2,0,0,N,0,0,2,365,3.200000048,0,0,1,1,0,20,257.0873718,0,0
11,1,1,1,97,1,1120,0,5,5,1,2,65,1,NA,NA,NA,NA,1,M,0,10,2,0,5416,0,5416,0,940,190,0,26,1,1,15,1,1,0,17,24,2,360,NA,190,2,0,0,N,0,0,2,201,3.900000095,0,1,1,1,0,16,237.8391876,0,0
12,1,1,1,56,1,1120,0,5,8,2,4,30,3,NA,NA,NA,NA,1,U,0,15,2,0,2507,0,2507,0,717,75,0,16,1,1,14,2,1,0,29,35,2,360,NA,75,1,0,0,Y,0,0,1,63,3.900000095,0,1,1,1,0,14,212.4822845,0,0
13,1,1,1,169,1,1120,1,4,4,1,2,60,1,NA,NA,NA,NA,2,M,1,8,8,0,2063,2033,2063,2033,1692,185,0,38,1,1,5,2,2,0,25,37,2,360,NA,185,3,1,0,N,0,0,1,91,5.300000191,1,1,0,1,1,12,253.4375,0,1
14,1,1,1,187,1,1120,0,5,5,1,2,107,0,NA,NA,NA,NA,1,M,0,2,2,0,2625,6250,2625,6250,1964,218,0,29,1,1,32,2,2,0,22,28,1,360,NA,220,2,1,0,Y,0,0,2,67,1.799999952,0,1,1,0,0,16,197.7293854,0,0
15,1,1,1,131,3,1120,0,5,5,1,2,69,0,NA,6,NA,NA,1,M,2,10,10,0,2500,3333,2500,3333,1387,146,0,15,1,1,9,2,2,0,24,31,2,360,NA,146,2,1,1,Y,0,1,2,42,3.099999905,0,1,1,0,0,12,213.4623871,0,0
16,1,1,1,176,1,1120,0,5,5,1,2,77,1,NA,NA,NA,NA,2,U,0,15,0.6000000238,0,3208,3180,3208,3180,1824,185,0,14,1,1,18,2,2,0,28,36,2,360,NA,195,3,1,0,N,0,0,1,51,3.200000048,0,0,1,1,0,17,237.8000031,0,1
17,1,1,1,201,3,1120,0,3,3,1,2,40,,3,3,NA,NA,2,M,0,4,4,0,1668,3890,1668,3890,1016,212,0,15,2,0,17,2,5,0,18,34,2,360,NA,212,3,1,1,N,1,0,1,92,3.200000048,0,1,0,1,0,12,300.2758484,0,1
19,1,1,1,128,1,1120,0,4,4,1,2,68,1,NA,NA,NA,NA,1,M,3,17,1,0,5703,0,5703,0,1372,135,0,7,1,1,1,2,1,0,23,24,2,360,NA,135,2,1,0,Y,0,0,1,36,3.200000048,0,0,1,1,0,27,241.6792755,0,0
20,1,1,1,80,1,1120,0,5,5,2,1,72,3,NA,NA,NA,NA,1,U,1,6,1,0,2166,3167,2166,3167,882,219,0,183,1,1,20,1,2,0,17,18,2,360,NA,223,2,0,0,N,0,0,1,256,3.900000095,0,0,1,1,0,16,213.990799,0,0
